price,Комиссия,count_room,built_house,balcony,Наличие мебели,Музеи,Салоны красоты косметических услуг,Рестораны / кафе быстрого питания,Продовольственные магазины,"Городские парки развлечений, аттракционов",Аптеки по продаже лекарств,"Маммологические центры, больницы, клиники, поликлиники","Фитнес-клубы, центры, залы",repair_flat_Дизайнерский,repair_flat_Евроремонт,repair_flat_Косметический,view_outside_Во двор,view_outside_На улицу,view_outside_На улицу и двор,type_house_Блочный,type_house_Кирпичный,type_house_Монолитно кирпичный,type_house_Монолитный,type_house_Панельный,parking_Наземная,parking_Открытая,parking_Подземная,circle_3 Транспортное,circle_Бульварное,circle_В пределах МКАД,circle_За МКАД,circle_Садовое,budget,coef_bern,coef_migrant,coef_people_prirost,coef_children,coef_year_people,coef_plotnost_people,coef_bacalavr_degree,coef_russian_people,coef_green_zone,coef_life_house,coef_happy_house,coef_ecology,square_log,metro_time_log,floor_log,azdist_log,mpa
49000.0,70,2,1960.0,0,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,46.0,2.3978952727983707,1.0986122886681098,7.863449339322438,40221.825000000004
45000.0,60,1,1963.0,1,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,31.0,2.079441541679836,2.19722457733622,7.962593375410234,27106.0125
60000.0,50,1,2018.0,1,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,39.99999999999998,2.302585092994046,2.8903717578961645,7.65579471100404,34975.499999999985
60000.0,50,2,2003.0,1,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,66.99999999999997,1.673351238177753,2.3978952727983707,7.928324987761837,58583.96249999998
60000.0,80,2,2017.0,1,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,49.99999999999999,2.9444389791664403,2.772588722239781,7.65579471100404,43719.37499999999
60000.0,60,1,2018.0,0,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,30.000000000000004,2.3978952727983707,1.9459101490553128,7.65579471100404,26231.625000000004
60000.0,50,2,1996.0,0,0.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,64.00000000000003,1.7351891177396608,0.6931471805599453,7.65579471100404,55960.800000000025
54000.0,60,1,2009.0,1,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,38.49999999999999,1.9459101490553128,2.302585092994046,7.926570489541948,33663.91875
55000.0,50,1,2008.0,1,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,39.99999999999998,1.9459101490553128,1.6094379124341005,7.910116755493523,34975.499999999985
60000.0,100,1,2013.0,1,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,39.99999999999998,1.5040773967762742,1.791759469228055,7.955623674325295,34975.499999999985
