,Название района,Музеи,Салоны красоты косметических услуг,Рестораны / кафе быстрого питания,Продовольственные магазины,"Городские парки развлечений, аттракционов",Рестораны,Аптеки по продаже лекарств,"Маммологические центры, больницы, клиники, поликлиники","Фитнес-клубы, центры, залы"
99,Печатники,2.0,24.0,31.0,73.0,2.0,9.0,44.0,2.0,9.0
100,Пресненский,42.0,383.0,93.0,71.0,8.0,278.0,138.0,13.0,86.0
101,Раменки,4.0,153.0,29.0,42.0,2.0,63.0,67.0,7.0,21.0
102,Рязановское,1.0,14.0,4.0,24.0,0,3.0,13.0,1.0,2.0
103,Роговское,0,0,2.0,3.0,0,0,0,0,0
104,Рязанский,1.0,63.0,39.0,63.0,0,12.0,72.0,2.0,5.0
105,Ростокино,0,21.0,16.0,14.0,5.0,7.0,13.0,28.0,7.0
106,Савёлки,0,19.0,2.0,18.0,0,13.0,25.0,1.0,8.0
107,Северный,0,14.0,19.0,19.0,2.0,8.0,17.0,1.0,1.0
108,Соколиная,0,91.0,45.0,52.0,2.0,22.0,58.0,0,5.0
109,Сосенское,0,43.0,32.0,48.0,0,10.0,40.0,2.0,11.0
110,Савеловский,0,34.0,15.0,27.0,0,11.0,36.0,1.0,3.0
111,Силино,1.0,6.0,6.0,23.0,0,2.0,16.0,1.0,2.0
112,Сокольники,7.0,60.0,36.0,20.0,3.0,23.0,35.0,3.0,10.0
113,Старое,0,7.0,2.0,14.0,0,3.0,13.0,1.0,0
114,Свиблово,2.0,24.0,17.0,16.0,1.0,8.0,31.0,0,2.0
115,Сокол,2.0,45.0,14.0,28.0,1.0,16.0,39.0,1.0,15.0
116,Солнцево,1.0,58.0,19.0,41.0,0,8.0,50.0,3.0,8.0
117,Строгино,0,57.0,20.0,50.0,0,11.0,52.0,0,11.0
118,Таганский,17.0,306.0,70.0,63.0,3.0,115.0,127.0,17.0,37.0
119,Теплый,1.0,52.0,18.0,31.0,0,10.0,68.0,3.0,2.0
120,Тропарево-Никулино,2.0,112.0,38.0,23.0,0,42.0,69.0,1.0,30.0
121,Тверской,53.0,479.0,98.0,43.0,1.0,368.0,128.0,10.0,59.0
122,Тимирязевский,7.0,35.0,31.0,42.0,1.0,15.0,44.0,1.0,4.0
123,Тушино,0,63.0,28.0,30.0,1.0,3.0,67.0,1.0,2.0
124,Текстильщики,1.0,45.0,35.0,60.0,0,8.0,55.0,1.0,7.0
125,Троицк,2.0,31.0,14.0,38.0,0,5.0,30.0,0,6.0
126,Тушино,3.0,41.0,25.0,29.0,1.0,13.0,48.0,2.0,11.0
127,Филевский,3.0,63.0,46.0,45.0,3.0,19.0,63.0,1.0,20.0
128,Фили-Давыдково,0,58.0,21.0,43.0,0,18.0,51.0,4.0,7.0
129,Филимонковское,0,0,5.0,19.0,0,2.0,4.0,0,1.0
130,Хамовники,40.0,242.0,57.0,34.0,2.0,130.0,78.0,14.0,44.0
131,Хорошевский,6.0,110.0,56.0,31.0,7.0,33.0,61.0,2.0,16.0
132,Ховрино,0,45.0,9.0,36.0,0,8.0,44.0,1.0,12.0
133,Хорошево-Мневники,2.0,94.0,10.0,51.0,0,30.0,83.0,2.0,21.0
134,Царицыно,0,37.0,25.0,43.0,0,8.0,43.0,2.0,6.0
135,Черемушки,0,77.0,24.0,37.0,0,32.0,52.0,2.0,8.0
136,Чертаново,1.0,69.0,21.0,37.0,1.0,7.0,62.0,2.0,8.0
137,Чертаново,0,70.0,41.0,42.0,3.0,14.0,46.0,1.0,15.0
138,Чертаново,0,38.0,48.0,31.0,3.0,23.0,44.0,0,9.0
139,Щаповское,1.0,2.0,4.0,15.0,0,1.0,5.0,0,0
140,Щербинка,0,21.0,24.0,46.0,0,7.0,36.0,0,5.0
141,Щукино,5.0,101.0,27.0,28.0,5.0,22.0,70.0,3.0,16.0
142,Южнопортовый,0,72.0,52.0,75.0,3.0,14.0,69.0,1.0,12.0
143,Якиманка,15.0,112.0,64.0,12.0,0,68.0,28.0,5.0,19.0
144,Ярославский,2.0,36.0,19.0,40.0,0,9.0,34.0,1.0,6.0
145,Ясенево,1.0,47.0,51.0,37.0,4.0,15.0,75.0,1.0,10.0
